Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
181,Evan Turner,28,POR,SF,65,12,25.5,3.6,8.5,0.426,0.5,1.8,0.263,3.1,6.7,0.47,0.454,1.3,1.6,0.825,0.6,3.2,3.8,3.2,0.8,0.4,1.5,1.9,9,,turneev01
182,DeMarre Carroll,30,TOR,SF,72,72,26.1,3.1,7.6,0.4,1.5,4.4,0.341,1.5,3.2,0.483,0.499,1.2,1.6,0.761,0.9,2.9,3.8,1,1.1,0.4,0.8,2,8.9,,carrode01
183,JaMychal Green,26,MEM,PF,77,75,27.3,3.2,6.5,0.5,0.7,1.9,0.379,2.5,4.6,0.549,0.555,1.7,2.2,0.802,2.2,4.9,7.1,1.1,0.6,0.4,1.2,3.2,8.9,,greenja01
184,Skal Labissière,20,SAC,PF,33,12,18.5,3.5,6.6,0.537,0.1,0.2,0.375,3.5,6.4,0.543,0.544,1.6,2.2,0.703,1.5,3.4,4.9,0.8,0.5,0.4,1.1,1.9,8.8,,labissk01
185,Nerlens Noel,22,2TM,C,51,19,20.5,3.6,6.1,0.595,0,0,0,3.6,6,0.597,0.595,1.5,2.2,0.694,1.8,3.9,5.8,1,1.3,1,1,2.5,8.7,,noelne01
185,Nerlens Noel,22,PHI,C,29,7,19.4,3.7,6,0.611,0,0,0,3.7,6,0.615,0.611,1.5,2.2,0.683,1.6,3.4,5,1,1.5,0.9,1,2.4,8.9,,noelne01
185,Nerlens Noel,22,DAL,C,22,12,22,3.5,6.1,0.575,0,0,,3.5,6.1,0.575,0.575,1.5,2.2,0.708,2.1,4.7,6.8,0.9,1,1.1,1,2.5,8.5,,noelne01
186,Al-Farouq Aminu,26,POR,PF,61,25,29.1,3,7.6,0.393,1.1,3.5,0.33,1.9,4.2,0.445,0.468,1.6,2.2,0.706,1.3,6.1,7.4,1.6,1,0.7,1.5,1.7,8.7,,aminual01
187,Rondae Hollis-Jefferson,22,BRK,SF,78,50,22.6,3,6.9,0.434,0.2,0.9,0.224,2.8,6.1,0.463,0.447,2.4,3.2,0.751,1.2,4.6,5.8,2,1.1,0.6,1.5,2.3,8.7,,holliro01
188,Marreese Speights,29,LAC,C,82,2,15.7,3,6.7,0.445,1.3,3.4,0.372,1.7,3.3,0.52,0.539,1.5,1.7,0.876,1.1,3.5,4.5,0.8,0.3,0.5,0.8,2.8,8.7,,speigma01
189,J.R. Smith,31,CLE,SG,41,35,29,3,8.7,0.346,2.3,6.6,0.351,0.7,2.1,0.329,0.479,0.2,0.4,0.667,0.4,2.3,2.8,1.5,1,0.3,0.6,1.9,8.6,,smithjr01
190,Monta Ellis,31,IND,SG,74,33,27,3.3,7.5,0.443,0.6,1.8,0.319,2.8,5.7,0.483,0.482,1.3,1.7,0.727,0.3,2.5,2.8,3.2,1.1,0.4,1.8,2,8.5,,ellismo01
191,Tony Snell,25,MIL,SG,80,80,29.2,3.1,6.8,0.455,1.8,4.4,0.406,1.3,2.3,0.548,0.588,0.6,0.7,0.81,0.3,2.8,3.1,1.2,0.7,0.2,0.7,1.6,8.5,,snellto01
192,Arron Afflalo,31,SAC,SG,61,45,25.9,3,6.9,0.44,1,2.5,0.411,2,4.4,0.457,0.514,1.4,1.5,0.892,0.1,1.9,2,1.3,0.3,0.1,0.7,1.7,8.4,,afflaar01
193,Tyson Chandler,34,PHO,C,47,46,27.6,3.3,4.9,0.671,0,0,,3.3,4.9,0.671,0.671,1.9,2.6,0.734,3.3,8.2,11.5,0.6,0.7,0.5,1.4,2.7,8.4,,chandty01
194,Norman Powell,23,TOR,SG,76,18,18,3,6.7,0.449,0.7,2.3,0.324,2.3,4.4,0.514,0.504,1.7,2.1,0.792,0.3,1.9,2.2,1.1,0.7,0.2,0.9,1.7,8.4,,powelno01
195,Troy Daniels,25,MEM,SG,67,3,17.7,2.8,7.4,0.374,2.1,5.3,0.389,0.7,2.1,0.336,0.513,0.6,0.8,0.796,0.3,1.2,1.5,0.7,0.3,0.1,0.7,1.3,8.2,,danietr01
196,Joe Harris,25,BRK,SG,52,11,21.9,3,7,0.425,1.6,4.3,0.385,1.3,2.7,0.489,0.543,0.7,0.9,0.714,0.3,2.5,2.8,1,0.6,0.2,1.1,2.3,8.2,,harrijo01
197,Willy Hernangómez,22,NYK,C,72,22,18.4,3.4,6.5,0.529,0.1,0.2,0.267,3.4,6.3,0.538,0.533,1.3,1.7,0.728,2.4,4.6,7,1.3,0.6,0.5,1.4,2.1,8.2,ROY-5,hernawi01
198,Caris LeVert,22,BRK,SF,57,26,21.7,3,6.7,0.45,1,3.2,0.321,2,3.4,0.571,0.528,1.2,1.6,0.72,0.4,2.9,3.3,1.9,0.9,0.1,1,1.6,8.2,,leverca01
199,Shawn Long,24,PHI,C,18,0,13,3.4,6.1,0.56,0.4,1.1,0.368,3,5,0.6,0.592,1.1,1.9,0.543,2.3,2.4,4.7,0.7,0.5,0.5,0.7,2.7,8.2,,longsh01
200,Willie Cauley-Stein,23,SAC,C,75,21,18.9,3.4,6.4,0.53,0,0,0,3.4,6.4,0.532,0.53,1.3,2,0.669,1.1,3.4,4.5,1.1,0.7,0.6,0.9,2,8.1,,caulewi01
201,Al Jefferson,32,IND,C,66,1,14.1,3.6,7.1,0.499,0,0,0,3.6,7.1,0.5,0.499,1,1.3,0.765,1.1,3.1,4.2,0.9,0.3,0.2,0.5,1.9,8.1,,jeffeal01
202,Ben McLemore,23,SAC,SG,61,27,19.3,3,6.9,0.43,1.1,2.8,0.382,1.9,4.1,0.462,0.507,1.1,1.5,0.753,0.3,1.8,2.1,0.8,0.5,0.1,1,1.8,8.1,,mclembe01
203,Tristan Thompson,25,CLE,C,78,78,29.9,3.4,5.6,0.6,0,0,0,3.4,5.6,0.604,0.6,1.4,2.7,0.498,3.7,5.5,9.2,1,0.5,1.1,0.8,2.3,8.1,,thomptr01
204,Vince Carter,40,MEM,SF,73,15,24.6,2.6,6.7,0.394,1.5,4.1,0.378,1.1,2.7,0.418,0.508,1.2,1.6,0.765,0.5,2.6,3.1,1.8,0.8,0.5,0.7,2.2,8,6MOY-11,cartevi01
205,Alex Len,23,PHO,C,77,34,20.3,3,6,0.497,0,0.2,0.25,2.9,5.9,0.503,0.5,1.9,2.7,0.721,2,4.6,6.6,0.6,0.5,1.3,1.3,3.1,8,,lenal01
206,Langston Galloway,25,2TM,PG,74,2,20.2,2.8,7.4,0.38,1.6,4.2,0.39,1.2,3.2,0.367,0.49,0.7,0.9,0.797,0.4,1.7,2.1,1.3,0.6,0.1,0.6,1.3,7.9,,gallola01
206,Langston Galloway,25,NOP,PG,55,0,20.4,3,8,0.374,1.8,4.9,0.377,1.2,3.1,0.37,0.489,0.7,0.9,0.769,0.4,1.8,2.2,1.2,0.7,0.1,0.5,1.4,8.6,,gallola01
206,Langston Galloway,25,SAC,PG,19,2,19.7,2.2,5.5,0.404,1,2.1,0.475,1.2,3.4,0.359,0.495,0.6,0.6,0.917,0.4,1.5,1.8,1.5,0.3,0.1,0.9,1.1,6,,gallola01
207,D.J. Augustin,29,ORL,PG,78,20,19.7,2.5,6.6,0.377,1.2,3.5,0.347,1.3,3.1,0.412,0.469,1.7,2.1,0.814,0.2,1.3,1.5,2.7,0.4,0,1.2,1.3,7.9,,augusdj01
208,Shelvin Mack,26,UTA,PG,55,9,21.9,3.1,6.9,0.446,0.7,2.2,0.308,2.4,4.7,0.51,0.495,1,1.4,0.688,0.4,1.9,2.3,2.8,0.8,0.1,1.6,1.8,7.8,,macksh01
209,Sergio Rodríguez,30,PHI,PG,68,30,22.3,3.1,7.9,0.392,1.4,3.7,0.365,1.7,4.2,0.415,0.478,0.3,0.4,0.667,0.3,2,2.3,5.1,0.7,0.1,1.9,1.4,7.8,,rodrise01
210,Rajon Rondo,30,CHI,PG,69,42,26.7,3.3,8.1,0.408,0.7,1.9,0.376,2.6,6.2,0.418,0.453,0.4,0.7,0.6,1.1,4.1,5.1,6.7,1.4,0.2,2.4,2.1,7.8,,rondora01
